case,cores,single_makespan_cycles,final_makespan_cycles,speedup
case_001,1,233110,233110,1.0
case_001,2,233110,116868,1.9946435294520313
case_001,3,233110,97000,2.4031958762886596
case_001,4,233110,58984,3.952088702020887
case_001,5,233110,47502,4.9073723211654245
case_002,1,261945,261945,1.0
case_002,2,261945,131496,1.992037780616901
case_002,3,261945,104557,2.5052841990493224
case_002,4,261945,78080,3.354828381147541
case_002,5,261945,66241,3.954423997222264
case_003,1,602212,602212,1.0
case_003,2,602212,388594,1.549720273601754
case_003,3,602212,297706,2.0228413266779977
case_003,4,602212,286318,2.103297731892511
case_003,5,602212,252968,2.380585686727175
case_004,1,392357,392357,1.0
case_004,2,392357,216172,1.8150222970597487
case_004,3,392357,142257,2.7580857181017455
case_004,4,392357,113976,3.442452797080087
case_004,5,392357,98907,3.9669285288200027
case_005,1,95618,95618,1.0
case_005,2,95618,55096,1.7354798896471613
case_005,3,95618,44327,2.157105150359826
case_005,4,95618,43062,2.2204728066508754
case_005,5,95618,43062,2.2204728066508754
case_006,1,82837,82837,1.0
case_006,2,82837,45613,1.816083134194199
case_006,3,82837,44201,1.8740978710888894
case_006,4,82837,44201,1.8740978710888894
case_006,5,82837,36044,2.2982188436355564
case_007,1,1012562,1012562,1.0
case_007,2,1012562,618914,1.636030207750996
case_007,3,1012562,425650,2.3788605661928814
case_007,4,1012562,326138,3.1047041436447147
case_007,5,1012562,203834,4.967581463347626
case_008,1,487605,487605,1.0
case_008,2,487605,242226,2.0130167694632286
case_008,3,487605,163359,2.984867684057811
case_008,4,487605,123060,3.962335446123842
case_008,5,487605,104035,4.6869322824049595
case_009,1,153261,153261,1.0
case_009,2,153261,100840,1.5198433161443872
case_009,3,153261,90370,1.6959278521633285
case_009,4,153261,88702,1.7278189894252667
case_009,5,153261,82643,1.854494633544281
case_010,1,86969,86969,1.0
case_010,2,86969,53794,1.6167044651819906
case_010,3,86969,41359,2.102782949297614
case_010,4,86969,38905,2.23541961187508
case_010,5,86969,37143,2.3414640712920334
case_011,1,184697,184697,1.0
case_011,2,184697,92646,1.9935777043801135
case_011,3,184697,79286,2.329503317105164
case_011,4,184697,46880,3.9397824232081913
case_011,5,184697,46880,3.9397824232081913
case_012,1,59088,59088,1.0
case_012,2,59088,33001,1.7904911972364475
case_012,3,59088,25172,2.3473700937549657
case_012,4,59088,23486,2.5158818019245506
case_012,5,59088,23024,2.56636553161918
case_013,1,263949,263949,1.0
case_013,2,263949,165065,1.5990609759791596
case_013,3,263949,89317,2.9551933002675863
case_013,4,263949,83671,3.154605538358571
case_013,5,263949,67008,3.939066977077364
case_014,1,17698626,17698626,1.0
case_014,2,17698626,11605741,1.5249888826572986
case_014,3,17698626,8569571,2.065287282175502
case_014,4,17698626,7306925,2.422171570120126
case_014,5,17698626,6467022,2.736750547624548
case_015,1,177362,177362,1.0
case_015,2,177362,104445,1.6981377758628944
case_015,3,177362,84097,2.10901696850066
case_015,4,177362,64580,2.7463920718488697
case_015,5,177362,64580,2.7463920718488697
case_016,1,7715523,7715523,1.0
case_016,2,7715523,7715523,1.0
case_016,3,7715523,7715523,1.0
case_016,4,7715523,7715523,1.0
case_016,5,7715523,7715523,1.0
case_017,1,162810,162810,1.0
case_017,2,162810,87619,1.8581586185644665
case_017,3,162810,64187,2.5364949288796796
case_017,4,162810,61400,2.651628664495114
case_017,5,162810,58680,2.7745398773006134
case_018,1,1004367,1004367,1.0
case_018,2,1004367,582918,1.722998775127891
case_018,3,1004367,419178,2.3960393913802727
case_018,4,1004367,349301,2.8753625096979394
case_018,5,1004367,286518,3.5054237430109105
case_019,1,81144,81144,1.0
case_019,2,81144,41969,1.933427053301246
case_019,3,81144,33348,2.433249370277078
case_019,4,81144,23610,3.436848792884371
case_019,5,81144,22886,3.5455737131871015
case_020,1,532746,532746,1.0
case_020,2,532746,266580,1.9984469952734638
case_020,3,532746,177950,2.993796010115201
case_020,4,532746,133704,3.984518039849219
case_020,5,532746,133566,3.98863483221778
case_021,1,6567937,6567937,1.0
case_021,2,6567937,3215396,2.0426526001773966
case_021,3,6567937,2784961,2.3583586987394076
case_021,4,6567937,1588497,4.13468643629796
case_021,5,6567937,1269404,5.174032065441735
case_022,1,56780,56780,1.0
case_022,2,56780,29058,1.9540229885057472
case_022,3,56780,22450,2.529175946547884
case_022,4,56780,20969,2.707806762363489
case_022,5,56780,19350,2.9343669250645994
case_023,1,122614,122614,1.0
case_023,2,122614,57858,2.1192229250924677
case_023,3,122614,38688,3.1693031430934657
case_023,4,122614,32530,3.7692591454042423
case_023,5,122614,32530,3.7692591454042423
case_024,1,2555343,2555343,1.0
case_024,2,2555343,2555343,1.0
case_024,3,2555343,2555343,1.0
case_024,4,2555343,2555343,1.0
case_024,5,2555343,2555343,1.0
case_025,1,4863026,4863026,1.0
case_025,2,4863026,2972392,1.636064825904524
case_025,3,4863026,2049989,2.372220533866279
case_025,4,4863026,1560638,3.116049974433533
case_025,5,4863026,975534,4.984988734375224
case_026,1,99203,99203,1.0
case_026,2,99203,64737,1.532400327478876
case_026,3,99203,54100,1.8336968576709796
case_026,4,99203,54100,1.8336968576709796
case_026,5,99203,54100,1.8336968576709796
case_027,1,2363952,2363952,1.0
case_027,2,2363952,1120962,2.10886006840553
case_027,3,2363952,744579,3.174884062000137
case_027,4,2363952,559196,4.227412213249022
case_027,5,2363952,559196,4.227412213249022
case_028,1,43836040,43836040,1.0
case_028,2,43836040,20313124,2.1580156749892336
case_028,3,43836040,13692563,3.201448844894853
case_028,4,43836040,10209084,4.293826948627321
case_028,5,43836040,8156752,5.374202868985106
case_029,1,37555,37555,1.0
case_029,2,37555,20818,1.8039677202420983
case_029,3,37555,12743,2.9471082162756024
case_029,4,37555,12408,3.0266763378465504
case_029,5,37555,12408,3.0266763378465504
case_030,1,2808034,2808034,1.0
case_030,2,2808034,2079367,1.3504273175442334
case_030,3,2808034,1580290,1.7769105670478202
case_030,4,2808034,1344466,2.088586844144813
case_030,5,2808034,1344466,2.088586844144813
case_031,1,1414369,1414369,1.0
case_031,2,1414369,857984,1.648479458824407
case_031,3,1414369,657059,2.1525753395052805
case_031,4,1414369,533935,2.648953524305393
case_031,5,1414369,447026,3.1639524322970027
case_032,1,41443,41443,1.0
case_032,2,41443,20967,1.9765822482949396
case_032,3,41443,19275,2.1500907911802853
case_032,4,41443,17051,2.430531933610932
case_032,5,41443,17051,2.430531933610932
case_033,1,1774196,1774196,1.0
case_033,2,1774196,1096366,1.6182515692752237
case_033,3,1774196,747256,2.3742813707752095
case_033,4,1774196,561362,3.1605203059701226
case_033,5,1774196,561362,3.1605203059701226
case_034,1,842996,842996,1.0
case_034,2,842996,547325,1.540211026355456
case_034,3,842996,385163,2.1886733668602645
case_034,4,842996,328195,2.5685827023568306
case_034,5,842996,291447,2.892450428379774
case_035,1,169571,169571,1.0
case_035,2,169571,105261,1.610957524629255
case_035,3,169571,98946,1.713773169203404
case_035,4,169571,95602,1.773718123051819
case_035,5,169571,95602,1.773718123051819
case_036,1,931510,931510,1.0
case_036,2,931510,466068,1.998656848356892
case_036,3,931510,388000,2.400798969072165
case_036,4,931510,233584,3.987901568600589
case_036,5,931510,187182,4.976493466252097
case_037,1,210001,210001,1.0
case_037,2,210001,125692,1.670758679947809
case_037,3,210001,85497,2.45623823058119
case_037,4,210001,68753,3.054426715925123
case_037,5,210001,43013,4.882268151489085
case_038,1,1364555,1364555,1.0
case_038,2,1364555,933300,1.4620754312654023
case_038,3,1364555,686873,1.986619069318491
case_038,4,1364555,686873,1.986619069318491
case_038,5,1364555,686276,1.9883472538745344
case_039,1,1435262,1435262,1.0
case_039,2,1435262,865123,1.65902651992838
case_039,3,1435262,584952,2.4536406405995708
case_039,4,1435262,558169,2.5713753361437126
case_039,5,1435262,504900,2.84266587443058
case_040,1,253454,253454,1.0
case_040,2,253454,145181,1.7457794063961538
case_040,3,253454,127386,1.9896534941045327
case_040,4,253454,123991,2.0441322354041827
case_040,5,253454,121977,2.077883535420612
case_041,1,6003957,6003957,1.0
case_041,2,6003957,3714990,1.6161435158641073
case_041,3,6003957,3304486,1.8169110112737654
case_041,4,6003957,2174064,2.761628452520257
case_041,5,6003957,2112003,2.8427786324167155
case_042,1,1686740,1686740,1.0
case_042,2,1686740,987912,1.7073787948724177
case_042,3,1686740,713847,2.362887285370675
case_042,4,1686740,570782,2.9551387394837256
case_042,5,1686740,486817,3.464833808186649
case_043,1,677656,677656,1.0
case_043,2,677656,340810,1.9883688858894986
case_043,3,677656,264491,2.562113644698685
case_043,4,677656,245299,2.762571392463891
case_043,5,677656,221717,3.0564007270529547
case_044,1,154407,154407,1.0
case_044,2,154407,58111,2.6571045068919825
case_044,3,154407,57861,2.6685850572924767
case_044,4,154407,57861,2.6685850572924767
case_044,5,154407,57861,2.6685850572924767
case_045,1,125614,125614,1.0
case_045,2,125614,78563,1.5988951542074514
case_045,3,125614,45671,2.7504105449847827
case_045,4,125614,39561,3.175197795809004
case_045,5,125614,29147,4.309671664322229
case_046,1,276455,276455,1.0
case_046,2,276455,112634,2.4544542500488307
case_046,3,276455,89453,3.0905056286541535
case_046,4,276455,80768,3.422828347860539
case_046,5,276455,80768,3.422828347860539
case_047,1,326508,326508,1.0
case_047,2,326508,249861,1.3067585577581136
case_047,3,326508,230393,1.4171784733043105
case_047,4,326508,209241,1.560439875550203
case_047,5,326508,201442,1.6208536452179785
case_048,1,222220,222220,1.0
case_048,2,222220,164258,1.3528717018349183
case_048,3,222220,151763,1.4642567687776336
case_048,4,222220,151763,1.4642567687776336
case_048,5,222220,151418,1.4675930206448375
case_049,1,196276,196276,1.0
case_049,2,196276,120187,1.6330884371853862
case_049,3,196276,97824,2.0064196925089957
case_049,4,196276,86219,2.276481981929737
case_049,5,196276,82826,2.3697389708545624
case_050,1,149690,149690,1.0
case_050,2,149690,81891,1.827917597782418
case_050,3,149690,53248,2.8111853966346154
case_050,4,149690,44776,3.343085581561551
case_050,5,149690,42067,3.5583711698005565
case_051,1,607628,607628,1.0
case_051,2,607628,607628,1.0
case_051,3,607628,607628,1.0
case_051,4,607628,607628,1.0
case_051,5,607628,607628,1.0
case_052,1,180301,180301,1.0
case_052,2,180301,96545,1.8675332746387694
case_052,3,180301,68630,2.6271455631647966
case_052,4,180301,58845,3.063998640496219
case_052,5,180301,57456,3.138070871623503
case_053,1,1472686,1472686,1.0
case_053,2,1472686,759149,1.9399169333029485
case_053,3,1472686,584699,2.518707916380907
case_053,4,1472686,487919,3.0183001686755384
case_053,5,1472686,465992,3.160324640766365
case_054,1,815051,815051,1.0
case_054,2,815051,485507,1.6787626131034157
case_054,3,815051,386490,2.108854045382804
case_054,4,815051,331197,2.4609250687657194
case_054,5,815051,271892,2.9977012931605196
case_055,1,118835,118835,1.0
case_055,2,118835,64648,1.838185249350328
case_055,3,118835,50239,2.365393419455005
case_055,4,118835,40605,2.9266100233961336
case_055,5,118835,38098,3.119192608535881
case_056,1,277285,277285,1.0
case_056,2,277285,188389,1.4718746848276705
case_056,3,277285,150152,1.8466953487133038
case_056,4,277285,135157,2.0515770548325283
case_056,5,277285,133714,2.0737170378569183
case_057,1,59726,59726,1.0
case_057,2,59726,30500,1.9582295081967214
case_057,3,59726,20864,2.8626342024539877
case_057,4,59726,17084,3.49601966752517
case_057,5,59726,17084,3.49601966752517
case_058,1,4539717,4539717,1.0
case_058,2,4539717,3633043,1.2495632449161764
case_058,3,4539717,1506765,3.012889866701178
case_058,4,4539717,1506765,3.012889866701178
case_058,5,4539717,915736,4.957451710973468
case_059,1,829473,829473,1.0
case_059,2,829473,421538,1.9677300741570154
case_059,3,829473,342534,2.4215785878190195
case_059,4,829473,185216,4.478408992743607
case_059,5,829473,185216,4.478408992743607
case_060,1,888789,888789,1.0
case_060,2,888789,525020,1.6928669384023465
case_060,3,888789,427280,2.0801090619734133
case_060,4,888789,348983,2.5467974084697533
case_060,5,888789,306448,2.900293035033676
case_061,1,77191,77191,1.0
case_061,2,77191,47435,1.627300516496258
case_061,3,77191,37105,2.080339576876432
case_061,4,77191,32914,2.3452330315367322
case_061,5,77191,32628,2.3657901189162684
case_062,1,2854809,2854809,1.0
case_062,2,2854809,1784824,1.5994904819746933
case_062,3,2854809,1189955,2.3990898815501427
case_062,4,2854809,892782,3.197655194661183
case_062,5,2854809,715345,3.9908142225080208
case_063,1,1070397,1070397,1.0
case_063,2,1070397,663139,1.61413670437118
case_063,3,1070397,446447,2.3975903074721074
case_063,4,1070397,335694,3.1886092691558385
case_063,5,1070397,266761,4.012569303608848
case_064,1,19116,19116,1.0
case_064,2,19116,14089,1.3568031797856484
case_064,3,19116,11941,1.600870948831756
case_064,4,19116,11251,1.6990489734245844
case_064,5,19116,10947,1.7462318443409153
case_065,1,53068,53068,1.0
case_065,2,53068,29524,1.797452919658583
case_065,3,53068,20797,2.551714189546569
case_065,4,53068,18510,2.8669908157752566
case_065,5,53068,17742,2.991094577837899
case_066,1,359070,359070,1.0
case_066,2,359070,185656,1.9340608437109492
case_066,3,359070,132398,2.712050030967235
case_066,4,359070,102860,3.4908613649620843
case_066,5,359070,93375,3.8454618473895583
case_067,1,63834834,63834834,1.0
case_067,2,63834834,31892152,2.001584402331959
case_067,3,63834834,21616404,2.9530736934783417
case_067,4,63834834,16654103,3.832979416543779
case_067,5,63834834,13549289,4.711305072908254
case_068,1,362095,362095,1.0
case_068,2,362095,204037,1.7746536167459823
case_068,3,362095,163496,2.2147025003669816
case_068,4,362095,137240,2.638407169921306
case_068,5,362095,137240,2.638407169921306
case_069,1,25144,25144,1.0
case_069,2,25144,16328,1.5399314061734444
case_069,3,25144,13774,1.825468273558879
case_069,4,25144,13774,1.825468273558879
case_069,5,25144,13774,1.825468273558879
case_070,1,117300,117300,1.0
case_070,2,117300,68604,1.7098128389015217
case_070,3,117300,46238,2.5368744322851335
case_070,4,117300,43398,2.7028895340799117
case_070,5,117300,40250,2.914285714285714
case_071,1,18919,18919,1.0
case_071,2,18919,12795,1.4786244626807346
case_071,3,18919,10300,1.8367961165048543
case_071,4,18919,10300,1.8367961165048543
case_071,5,18919,10300,1.8367961165048543
case_072,1,23897828,23897828,1.0
case_072,2,23897828,14399738,1.6596015844177165
case_072,3,23897828,10386946,2.3007559681161336
case_072,4,23897828,7596894,3.1457366655372576
case_072,5,23897828,7185795,3.325704114854376
case_073,1,10081626,10081626,1.0
case_073,2,10081626,5343686,1.8866426657554354
case_073,3,10081626,4326521,2.3301923184933115
case_073,4,10081626,3456740,2.9165126680051148
case_073,5,10081626,3167472,3.182861916380003
case_074,1,1682239,1682239,1.0
case_074,2,1682239,925398,1.8178545879718782
case_074,3,1682239,666433,2.524243247258164
case_074,4,1682239,527458,3.1893326103689774
case_074,5,1682239,431365,3.8998041102082923
case_075,1,1441809,1441809,1.0
case_075,2,1441809,992854,1.4521863234674988
case_075,3,1441809,933856,1.543930755919542
case_075,4,1441809,800233,1.8017364942460508
case_075,5,1441809,751559,1.9184242354891632
case_076,1,6185113,6185113,1.0
case_076,2,6185113,4590971,1.3472341689808103
case_076,3,6185113,3566014,1.7344612219694033
case_076,4,6185113,3082213,2.0067117360156486
case_076,5,6185113,2188435,2.826272199082906
case_077,1,495320,495320,1.0
case_077,2,495320,295128,1.6783226261147706
case_077,3,495320,217510,2.277228633166291
case_077,4,495320,158052,3.133905296990864
case_077,5,495320,138699,3.571186526218646
case_078,1,2296143,2296143,1.0
case_078,2,2296143,1069122,2.1476903477807023
case_078,3,2296143,717204,3.2015200696036272
case_078,4,2296143,545355,4.210363891410182
case_078,5,2296143,473703,4.847220726911166
case_079,1,31052251,31052251,1.0
case_079,2,31052251,15449228,2.0099548663531923
case_079,3,31052251,10278153,3.0211897993734866
case_079,4,31052251,7688095,4.039004590864187
case_079,5,31052251,7688095,4.039004590864187
case_080,1,292138,292138,1.0
case_080,2,292138,190690,1.532004824584404
case_080,3,292138,108282,2.6979368685469423
case_080,4,292138,108282,2.6979368685469423
case_080,5,292138,101701,2.8725184609787515
case_081,1,151795,151795,1.0
case_081,2,151795,83829,1.8107695427596655
case_081,3,151795,63616,2.386113556338028
case_081,4,151795,51008,2.975905740276035
case_081,5,151795,45713,3.3206090171286067
case_082,1,721041,721041,1.0
case_082,2,721041,426701,1.6898038673450495
case_082,3,721041,337625,2.135626804887079
case_082,4,721041,267185,2.698658233059491
case_082,5,721041,233808,3.083902176144529
case_083,1,1057993,1057993,1.0
case_083,2,1057993,438433,2.413123555936711
case_083,3,1057993,297463,3.5567213401330586
case_083,4,1057993,224139,4.720253949558087
case_083,5,1057993,200381,5.279906777588693
case_084,1,2507412,2507412,1.0
case_084,2,2507412,1276489,1.9643036485234107
case_084,3,2507412,836220,2.998507569778288
case_084,4,2507412,625992,4.0055016677529425
case_084,5,2507412,501224,5.0025776898153325
case_085,1,3187899,3187899,1.0
case_085,2,3187899,2388498,1.3346877409987365
case_085,3,3187899,2146417,1.4852188554227812
case_085,4,3187899,2023024,1.5758087892185164
case_085,5,3187899,1871755,1.7031604029373502
case_086,1,118403,118403,1.0
case_086,2,118403,72293,1.6378210891787586
case_086,3,118403,58004,2.0412902558444244
case_086,4,118403,47955,2.469043895318528
case_086,5,118403,47955,2.469043895318528
case_087,1,3974071,3974071,1.0
case_087,2,3974071,2287771,1.7370930045008874
case_087,3,3974071,1577719,2.518871231188824
case_087,4,3974071,1349330,2.9452179970800323
case_087,5,3974071,1166481,3.4068887534387615
case_088,1,243623,243623,1.0
case_088,2,243623,135090,1.8034125397882892
case_088,3,243623,103380,2.3565776745985683
case_088,4,243623,88183,2.762698025696563
case_088,5,243623,81894,2.9748577429359906
case_089,1,693092,693092,1.0
case_089,2,693092,339435,2.0418990381074433
case_089,3,693092,226846,3.055341509217707
case_089,4,693092,170137,4.073728818540353
case_089,5,693092,136648,5.072097652362274
case_090,1,1178363,1178363,1.0
case_090,2,1178363,457842,2.573732859807532
case_090,3,1178363,338995,3.4760483192967446
case_090,4,1178363,323214,3.6457672006781885
case_090,5,1178363,323214,3.6457672006781885
case_091,1,9186769,9186769,1.0
case_091,2,9186769,5702896,1.6108954117346694
case_091,3,9186769,4650425,1.9754686937215415
case_091,4,9186769,4022789,2.283681545315949
case_091,5,9186769,3126021,2.938805913331996
case_092,1,4815554,4815554,1.0
case_092,2,4815554,2015242,2.3895661166251996
case_092,3,4815554,1334168,3.6094060118365903
case_092,4,4815554,1018974,4.725885056929814
case_092,5,4815554,823550,5.847312245765284
case_093,1,74205,74205,1.0
case_093,2,74205,41806,1.7749844519925368
case_093,3,74205,31740,2.3379017013232515
case_093,4,74205,23631,3.140154881299987
case_093,5,74205,20201,3.6733330033166673
case_094,1,94892,94892,1.0
case_094,2,94892,52048,1.8231632339379036
case_094,3,94892,38234,2.4818747711461002
case_094,4,94892,30467,3.114582991433354
case_094,5,94892,26086,3.637660047535076
case_095,1,2084853,2084853,1.0
case_095,2,2084853,1040351,2.003989999529005
case_095,3,2084853,693735,3.0052584920755043
case_095,4,2084853,522106,3.9931603927171877
case_095,5,2084853,418656,4.9798713024535655
case_096,1,84194,84194,1.0
case_096,2,84194,44167,1.9062648583784274
case_096,3,84194,36103,2.3320499681466913
case_096,4,84194,35471,2.3736009698063207
case_096,5,84194,35471,2.3736009698063207
case_097,1,11491509,11491509,1.0
case_097,2,11491509,5834394,1.9696148391760995
case_097,3,11491509,4229228,2.717164692941596
case_097,4,11491509,2869852,4.0042165937476915
case_097,5,11491509,2785187,4.125938042939307
case_098,1,177430,177430,1.0
case_098,2,177430,94244,1.8826662705318111
case_098,3,177430,87935,2.017740376414397
case_098,4,177430,87935,2.017740376414397
case_098,5,177430,87935,2.017740376414397
case_099,1,1622999,1622999,1.0
case_099,2,1622999,1559711,1.0405767478718815
case_099,3,1622999,747117,2.1723491769026806
case_099,4,1622999,614461,2.6413376927095453
case_099,5,1622999,504123,3.2194504119034444
case_100,1,151223,151223,1.0
case_100,2,151223,80853,1.870344947002585
case_100,3,151223,68488,2.2080218432426117
case_100,4,151223,67632,2.2359681807428435
case_100,5,151223,65477,2.3095590818149883
